#OTU ID	KO6	WT8	KO2	KO5	OE2	WT1	WT2	WT4	KO7	KO3	WT6	OE4	KO9	WT3	KO1	KO4	WT5	KO8	OE6	OE5	WT7	OE7	WT9	OE1	OE8	OE9	OE3
OTU_175	1	0	0	1	0	0	1	1	1	1	1	0	0	1	0	0	1	1	1	0	0	1	1	1	0	0	1
OTU_89	6	1	7	3	8	7	10	7	2	4	2	3	3	5	7	4	4	6	3	7	6	3	2	4	5	4	3
OTU_190	13	3	11	11	8	9	11	11	11	7	8	10	9	13	7	10	10	18	6	15	13	9	6	7	16	12	11
OTU_216	2	0	1	2	0	2	1	1	1	0	1	0	1	3	1	1	2	2	1	0	1	0	1	0	3	3	0
OTU_107	2	1	7	4	3	5	8	5	3	2	3	0	3	6	4	3	3	4	4	2	5	5	2	7	4	4	1
OTU_180	1	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	1	0	0	1	0
OTU_131	3	0	1	1	1	2	0	0	1	4	0	0	0	0	0	0	0	1	0	1	1	0	1	0	0	0	0
OTU_220	1	0	0	3	0	0	0	1	0	0	0	1	1	0	0	0	0	1	0	2	0	2	1	0	0	0	0
OTU_206	1	0	2	1	1	0	1	1	1	1	0	1	1	0	1	1	0	1	0	1	1	0	1	1	1	1	1
OTU_105	1	8	1	3	3	2	1	3	3	1	3	1	2	3	1	2	2	2	1	2	4	0	2	0	3	1	0
OTU_140	2	8	3	2	1	2	2	2	2	4	3	5	3	4	3	2	2	3	3	1	2	2	5	1	1	2	3
OTU_405	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_743	1	1	2	1	2	1	1	1	1	1	1	0	1	1	1	1	1	1	1	2	1	1	1	1	1	0	1
OTU_927	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
OTU_562	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	1	2	2	3
OTU_83	6	6	5	5	3	5	5	5	4	4	5	3	5	5	6	5	4	5	6	3	5	3	8	4	5	9	6
OTU_536	1	0	2	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
OTU_163	1	1	2	2	0	2	1	2	1	0	0	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1
OTU_78	3	2	2	2	4	2	3	3	2	1	1	1	4	5	2	2	2	1	1	2	3	1	3	1	2	1	0
OTU_430	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_275	1	0	1	0	0	0	0	1	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU_948	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_445	1	1	1	1	1	0	1	0	1	0	0	0	0	1	1	1	1	0	0	1	1	0	1	0	0	0	1
OTU_134	4	1	2	2	0	1	2	1	2	1	0	0	2	3	1	2	2	1	2	0	1	1	1	2	1	1	1
